phase,t_s,yJ,zJ,stem_deg,q1,q2,yE,zE,yI,zI,fk_err,theta1_LF,theta2_LF,theta1_RF,theta2_RF,theta1_LH,theta2_LH,theta1_RH,theta2_RH
0.0,0.0,96.057,-83.211,-18.0,33.625,-18.0,47.553,0.749,47.553,-67.451,0.0,111.375,71.0,65.625,124.0,86.375,66.0,92.625,116.0
0.01,0.007,96.654,-81.31,-16.87,34.921,-16.87,47.848,1.69,47.848,-66.51,0.0,110.079,69.87,66.921,125.13,85.079,64.87,93.921,117.13
0.02,0.013,97.211,-79.405,-15.744,36.218,-15.744,48.124,2.633,48.124,-65.567,0.0,108.782,68.744,68.218,126.256,83.782,63.744,95.218,118.256
0.03,0.02,97.727,-77.505,-14.627,37.511,-14.627,48.379,3.574,48.379,-64.626,0.0,107.489,67.627,69.511,127.373,82.489,62.627,96.511,119.373
0.04,0.027,98.2,-75.618,-13.524,38.796,-13.524,48.614,4.508,48.614,-63.692,0.0,106.204,66.524,70.796,128.476,81.204,61.524,97.796,120.476
0.05,0.033,98.63,-73.753,-12.438,40.067,-12.438,48.827,5.431,48.827,-62.769,0.0,104.933,65.438,72.067,129.562,79.933,60.438,99.067,121.562
0.06,0.04,99.017,-71.918,-11.374,41.318,-11.374,49.018,6.34,49.018,-61.86,0.0,103.682,64.374,73.318,130.626,78.682,59.374,100.318,122.626
0.07,0.047,99.361,-70.121,-10.336,42.544,-10.336,49.189,7.229,49.189,-60.971,0.0,102.456,63.336,74.544,131.664,77.456,58.336,101.544,123.664
0.08,0.053,99.664,-68.371,-9.328,43.74,-9.328,49.339,8.095,49.339,-60.105,0.0,101.26,62.328,75.74,132.672,76.26,57.328,102.74,124.672
0.09,0.06,99.928,-66.676,-8.355,44.901,-8.355,49.469,8.935,49.469,-59.265,0.0,100.099,61.355,76.901,133.645,75.099,56.355,103.901,125.645
0.1,0.067,100.154,-65.043,-7.42,46.021,-7.42,49.581,9.743,49.581,-58.457,0.0,98.979,60.42,78.021,134.58,73.979,55.42,105.021,126.58
0.11,0.073,100.345,-63.48,-6.526,47.096,-6.526,49.676,10.517,49.676,-57.683,0.0,97.904,59.526,79.096,135.474,72.904,54.526,106.096,127.474
0.12,0.08,100.504,-61.993,-5.678,48.12,-5.678,49.755,11.253,49.755,-56.947,0.0,96.88,58.678,80.12,136.322,71.88,53.678,107.12,128.322
0.13,0.087,100.634,-60.589,-4.879,49.089,-4.879,49.819,11.948,49.819,-56.252,0.0,95.911,57.879,81.089,137.121,70.911,52.879,108.089,129.121
0.14,0.093,100.738,-59.275,-4.131,49.999,-4.131,49.87,12.598,49.87,-55.602,0.0,95.001,57.131,81.999,137.869,70.001,52.131,108.999,129.869
0.15,0.1,100.818,-58.056,-3.438,50.845,-3.438,49.91,13.202,49.91,-54.998,0.0,94.155,56.438,82.845,138.562,69.155,51.438,109.845,130.562
0.16,0.107,100.879,-56.938,-2.802,51.623,-2.802,49.94,13.756,49.94,-54.444,0.0,93.377,55.802,83.623,139.198,68.377,50.802,110.623,131.198
