t_s,tau,x_abs_m,z_abs_m,x_rel_O2_mm,z_rel_O2_mm,vx_m_s,vz_m_s,v_m_s,theta_deg,fan_open,A_face_cm2,Fx_qs_mN,Fz_qs_mN,phase
0.000,0.0000,0.10540,-0.08500,42.00,-89.00,-0.0078,0.0000,0.0000,0.0,0.750,14.44,0.1,-0.0,power
0.002,0.0029,0.10538,-0.08500,41.98,-89.00,-0.0156,0.0000,0.0156,0.0,0.783,14.98,0.2,-0.0,power
0.004,0.0058,0.10534,-0.08500,41.94,-89.00,-0.0311,0.0000,0.0311,0.0,0.817,15.52,1.0,-0.0,power
0.006,0.0088,0.10526,-0.08500,41.86,-89.00,-0.0467,0.0000,0.0467,0.0,0.850,16.05,2.2,-0.0,power
0.008,0.0117,0.10515,-0.08500,41.75,-89.00,-0.0622,0.0000,0.0622,0.0,0.883,16.59,4.1,-0.0,power
0.010,0.0146,0.10501,-0.08500,41.61,-89.00,-0.0778,0.0000,0.0778,0.0,0.917,17.13,6.7,-0.0,power
0.012,0.0175,0.10484,-0.08500,41.44,-89.00,-0.0933,0.0000,0.0933,0.0,0.950,17.67,10.0,-0.0,power
0.014,0.0205,0.10464,-0.08500,41.24,-89.00,-0.1089,0.0000,0.1089,0.0,0.983,18.20,14.0,-0.0,power
0.016,0.0234,0.10440,-0.08500,41.00,-89.00,-0.1244,0.0000,0.1244,0.0,1.000,18.47,18.6,-0.0,power
0.018,0.0263,0.10414,-0.08500,40.74,-89.00,-0.1400,0.0000,0.1400,0.0,1.000,18.47,23.5,-0.0,power
0.020,0.0292,0.10384,-0.08500,40.44,-89.00,-0.1556,0.0000,0.1556,0.0,1.000,18.47,29.0,-0.0,power
0.022,0.0321,0.10352,-0.08500,40.12,-89.00,-0.1711,0.0000,0.1711,0.0,1.000,18.47,35.1,-0.0,power
0.024,0.0351,0.10316,-0.08500,39.76,-89.00,-0.1867,0.0000,0.1867,0.0,1.000,18.47,41.8,-0.0,power
0.026,0.0380,0.10277,-0.08500,39.37,-89.00,-0.2022,0.0000,0.2022,0.0,1.000,18.47,49.0,-0.0,power
0.028,0.0409,0.10235,-0.08500,38.95,-89.00,-0.2178,0.0000,0.2178,0.0,1.000,18.47,56.9,-0.0,power
0.030,0.0438,0.10190,-0.08500,38.50,-89.00,-0.2333,0.0000,0.2333,0.0,1.000,18.47,65.3,-0.0,power
0.032,0.0468,0.10142,-0.08500,38.02,-89.00,-0.2489,0.0000,0.2489,0.0,1.000,18.47,74.3,-0.0,power
0.034,0.0497,0.10090,-0.08500,37.50,-89.00,-0.2644,0.0000,0.2644,0.0,1.000,18.47,83.9,-0.0,power
