t_s,tau,x_abs_m,z_abs_m,x_rel_O2_mm,z_rel_O2_mm,vx_m_s,vz_m_s,v_m_s,theta_deg,fan_open,A_face_cm2,Fx_qs_mN,Fz_qs_mN,phase
0.000,0.0000,0.12640,-0.08500,63.00,-89.00,-0.0078,0.0000,0.0000,0.0,0.750,14.44,0.1,-0.0,power
0.002,0.0022,0.12638,-0.08500,62.98,-89.00,-0.0156,0.0000,0.0156,0.0,0.783,14.98,0.2,-0.0,power
0.004,0.0043,0.12634,-0.08500,62.94,-89.00,-0.0311,0.0000,0.0311,0.0,0.817,15.52,1.0,-0.0,power
0.006,0.0065,0.12626,-0.08500,62.86,-89.00,-0.0467,0.0000,0.0467,0.0,0.850,16.05,2.2,-0.0,power
0.008,0.0087,0.12615,-0.08500,62.75,-89.00,-0.0622,0.0000,0.0622,0.0,0.883,16.59,4.1,-0.0,power
0.010,0.0108,0.12601,-0.08500,62.61,-89.00,-0.0778,0.0000,0.0778,0.0,0.917,17.13,6.7,-0.0,power
0.012,0.0130,0.12584,-0.08500,62.44,-89.00,-0.0933,0.0000,0.0933,0.0,0.950,17.67,10.0,-0.0,power
0.014,0.0151,0.12564,-0.08500,62.24,-89.00,-0.1089,0.0000,0.1089,0.0,0.983,18.20,14.0,-0.0,power
0.016,0.0173,0.12540,-0.08500,62.00,-89.00,-0.1244,0.0000,0.1244,0.0,1.000,18.47,18.6,-0.0,power
0.018,0.0195,0.12514,-0.08500,61.74,-89.00,-0.1400,0.0000,0.1400,0.0,1.000,18.47,23.5,-0.0,power
0.020,0.0216,0.12484,-0.08500,61.44,-89.00,-0.1556,0.0000,0.1556,0.0,1.000,18.47,29.0,-0.0,power
0.022,0.0238,0.12452,-0.08500,61.12,-89.00,-0.1711,0.0000,0.1711,0.0,1.000,18.47,35.1,-0.0,power
0.024,0.0260,0.12416,-0.08500,60.76,-89.00,-0.1867,0.0000,0.1867,0.0,1.000,18.47,41.8,-0.0,power
0.026,0.0281,0.12377,-0.08500,60.37,-89.00,-0.2022,0.0000,0.2022,0.0,1.000,18.47,49.0,-0.0,power
0.028,0.0303,0.12335,-0.08500,59.95,-89.00,-0.2178,0.0000,0.2178,0.0,1.000,18.47,56.9,-0.0,power
0.030,0.0325,0.12290,-0.08500,59.50,-89.00,-0.2333,0.0000,0.2333,0.0,1.000,18.47,65.3,-0.0,power
0.032,0.0346,0.12242,-0.08500,59.02,-89.00,-0.2489,0.0000,0.2489,0.0,1.000,18.47,74.3,-0.0,power
0.034,0.0368,0.12190,-0.08500,58.50,-89.00,-0.2644,0.0000,0.2644,0.0,1.000,18.47,83.9,-0.0,power
0.036,0.0389,0.12136,-0.08500,57.96,-89.00,-0.2800,0.0000,0.2800,0.0,1.000,18.47,94.0,-0.0,power
0.038,0.0411,0.12078,-0.08500,57.38,-89.00,-0.2956,-0.0000,0.2956,0.0,1.000,18.47,104.8,0.0,power
0.040,0.0433,0.12018,-0.08500,56.78,-89.00,-0.3111,0.0000,0.3111,0.0,1.000,18.47,116.1,-0.0,power
0.042,0.0454,0.11954,-0.08500,56.14,-89.00,-0.3267,0.0000,0.3267,0.0,1.000,18.47,128.0,-0.0,power
0.044,0.0476,0.11887,-0.08500,55.47,-89.00,-0.3412,-0.0000,0.3422,0.0,1.000,18.47,139.7,0.0,power
0.046,0.0498,0.11818,-0.08500,54.78,-89.00,-0.3490,0.0000,0.3500,0.0,1.000,18.47,146.1,-0.0,power
0.048,0.0519,0.11748,-0.08500,54.08,-89.00,-0.3500,0.0000,0.3500,0.0,1.000,18.47,146.9,-0.0,power
0.050,0.0541,0.11678,-0.08500,53.38,-89.00,-0.3500,0.0000,0.3500,0.0,1.000,18.47,146.9,-0.0,power
0.052,0.0563,0.11608,-0.08500,52.68,-89.00,-0.3500,0.0000,0.3500,0.0,1.000,18.47,146.9,-0.0,power
0.054,0.0584,0.11538,-0.08500,51.98,-89.00,-0.3500,-0.0000,0.3500,0.0,1.000,18.47,146.9,0.0,power
0.056,0.0606,0.11468,-0.08500,51.28,-89.00,-0.3500,0.0000,0.3500,0.0,1.000,18.47,146.9,-0.0,power
0.058,0.0627,0.11398,-0.08500,50.58,-89.00,-0.3500,0.0000,0.3500,0.0,1.000,18.47,146.9,-0.0,power
0.060,0.0649,0.11328,-0.08500,49.88,-89.00,-0.3500,-0.0000,0.3500,0.0,1.000,18.47,146.9,0.0,power
0.062,0.0671,0.11258,-0.08500,49.18,-89.00,-0.3500,0.0000,0.3500,0.0,1.000,18.47,146.9,-0.0,power
0.064,0.0692,0.11188,-0.08500,48.48,-89.00,-0.3500,0.0000,0.3500,0.0,1.000,18.47,146.9,-0.0,power
0.066,0.0714,0.11118,-0.08500,47.78,-89.00,-0.3500,0.0000,0.3500,0.0,1.000,18.47,146.9,-0.0,power
0.068,0.0736,0.11048,-0.08500,47.08,-89.00,-0.3500,0.0000,0.3500,0.0,1.000,18.47,146.9,-0.0,power
0.070,0.0757,0.10978,-0.08500,46.38,-89.00,-0.3500,0.0000,0.3500,0.0,1.000,18.47,146.9,-0.0,power
0.072,0.0779,0.10908,-0.08500,45.68,-89.00,-0.3500,0.0000,0.3500,0.0,1.000,18.47,146.9,-0.0,power
0.074,0.0801,0.10838,-0.08500,44.98,-89.00,-0.3500,0.0000,0.3500,0.0,1.000,18.47,146.9,-0.0,power
0.076,0.0822,0.10768,-0.08500,44.28,-89.00,-0.3500,0.0000,0.3500,0.0,1.000,18.47,146.9,-0.0,power
0.078,0.0844,0.10698,-0.08500,43.58,-89.00,-0.3500,0.0000,0.3500,0.0,1.000,18.47,146.9,-0.0,power
0.080,0.0865,0.10628,-0.08500,42.88,-89.00,-0.3500,0.0000,0.3500,0.0,1.000,18.47,146.9,-0.0,power
0.082,0.0887,0.10558,-0.08500,42.18,-89.00,-0.3500,0.0000,0.3500,0.0,1.000,18.47,146.9,-0.0,power
