x_mm,y_mm
30.117,-43.012
28.611,-40.861
27.105,-38.710
25.600,-36.560
24.094,-34.409
22.588,-32.259
21.082,-30.108
19.576,-27.958
18.070,-25.807
16.564,-23.656
15.059,-21.506
13.553,-19.355
12.047,-17.205
10.541,-15.054
9.035,-12.903
7.529,-10.753
6.023,-8.602
4.518,-6.452
3.012,-4.301
1.506,-2.151
0.000,0.000
1.506,2.151
3.012,4.301
4.518,6.452
6.023,8.602
7.529,10.753
9.035,12.903
10.541,15.054
12.047,17.205
13.553,19.355
15.059,21.506
16.564,23.656
18.070,25.807
19.576,27.958
21.082,30.108
22.588,32.259
24.094,34.409
25.600,36.560
27.105,38.710
28.611,40.861
30.117,43.012
44.454,43.012
43.665,40.861
42.876,38.710
42.087,36.560
41.298,34.409
40.509,32.259
39.720,30.108
38.931,27.958
38.142,25.807
37.353,23.656
36.564,21.506
35.775,19.355
34.986,17.205
34.197,15.054
33.408,12.903
32.619,10.753
31.830,8.602
31.041,6.452
30.252,4.301
29.463,2.151
28.674,0.000
29.463,-2.151
30.252,-4.301
31.041,-6.452
31.830,-8.602
32.619,-10.753
33.408,-12.903
34.197,-15.054
34.986,-17.205
35.775,-19.355
36.564,-21.506
37.353,-23.656
38.142,-25.807
38.931,-27.958
39.720,-30.108
40.509,-32.259
41.298,-34.409
42.087,-36.560
42.876,-38.710
43.665,-40.861
44.454,-43.012
