x_over_c,y_over_c
1.00000,-0.00000
0.99929,0.00018
0.99717,0.00072
0.99363,0.00161
0.98870,0.00285
0.98238,0.00443
0.97470,0.00633
0.96567,0.00854
0.95532,0.01105
0.94368,0.01382
0.93078,0.01685
0.91666,0.02011
0.90136,0.02358
0.88492,0.02724
0.86739,0.03106
0.84882,0.03502
0.82926,0.03909
0.80876,0.04325
0.78739,0.04748
0.76521,0.05175
0.74228,0.05604
0.71865,0.06031
0.69441,0.06455
0.66962,0.06873
0.64435,0.07283
0.61866,0.07680
0.59264,0.08064
0.56636,0.08430
0.53989,0.08776
0.51331,0.09099
0.48669,0.09396
0.46011,0.09663
0.43364,0.09899
0.40736,0.10100
0.38134,0.10263
0.35565,0.10385
0.33038,0.10465
0.30559,0.10500
0.28135,0.10488
0.25772,0.10427
0.23479,0.10318
0.21261,0.10157
0.19124,0.09947
0.17074,0.09686
0.15118,0.09375
0.13261,0.09015
0.11508,0.08608
0.09864,0.08155
0.08334,0.07658
0.06922,0.07119
0.05632,0.06541
0.04468,0.05928
0.03433,0.05280
0.02530,0.04601
0.01762,0.03893
0.01130,0.03159
0.00637,0.02402
0.00283,0.01621
0.00071,0.00820
0.00000,0.00000
0.00071,-0.00820
0.00283,-0.01621
0.00637,-0.02402
0.01130,-0.03159
0.01762,-0.03893
0.02530,-0.04601
0.03433,-0.05280
0.04468,-0.05928
0.05632,-0.06541
0.06922,-0.07119
0.08334,-0.07658
0.09864,-0.08155
0.11508,-0.08608
0.13261,-0.09015
0.15118,-0.09375
0.17074,-0.09686
0.19124,-0.09947
0.21261,-0.10157
0.23479,-0.10318
0.25772,-0.10427
0.28135,-0.10488
0.30559,-0.10500
0.33038,-0.10465
0.35565,-0.10385
0.38134,-0.10263
0.40736,-0.10100
0.43364,-0.09899
0.46011,-0.09663
0.48669,-0.09396
0.51331,-0.09099
0.53989,-0.08776
0.56636,-0.08430
0.59264,-0.08064
0.61866,-0.07680
0.64435,-0.07283
0.66962,-0.06873
0.69441,-0.06455
0.71865,-0.06031
0.74228,-0.05604
0.76521,-0.05175
0.78739,-0.04748
0.80876,-0.04325
0.82926,-0.03909
0.84882,-0.03502
0.86739,-0.03106
0.88492,-0.02724
0.90136,-0.02358
0.91666,-0.02011
0.93078,-0.01685
0.94368,-0.01382
0.95532,-0.01105
0.96567,-0.00854
0.97470,-0.00633
0.98238,-0.00443
0.98870,-0.00285
0.99363,-0.00161
0.99717,-0.00072
0.99929,-0.00018
1.00000,0.00000
